"","country","househld","rsex","rage","marstat6","childhh","married","readpap","whpaper","webnews","wnwsite1","supparty","closepty","partyidn","partyid1","politics","soctrust","ecpolicy","govtrust","mpstrust","conlabdf","spend1","dole","taxspend","incomgap","ub1poor","ccbeliev","letin","miecono","micultur","reasmig","asastay","friendob","raceori3","religion","hedqual","rearnd","welffeet","forgrel1","forgrel2","forgrel4","forgrel5","mnntpowr","unionsa","reconact","natbrit","nateng","nateuro","natscot","natwelsh","natni","natasia","natafric"
"233","England",4,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Several times a week","Daily Mail or Mail Online/Mail on Sunday","Yes",NA,"Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","5 - Neither",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion","Degree","£2,201 - 2,700 p.m.","Agree","Neither agree nor disagree","Disagree","Disagree","Disagree","Agree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,"Mentioned",NA,NA,NA,NA
"234","England",2,"Female",NA,"Married","No","Married/living as married","Yes","The Guardian","Never",NA,"Yes",NA,"Labour","Labour","... a great deal,","Can t be too careful in dealing with people","or, to work for the formation of a single European government?","Only some of the time","Only some of the time","or, not much difference?","Education","too high and discourage work","Increase taxes and spend more on health, education etc","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","8","7","Coming to work in Britain from countries inside the European Union","Agree","Yes, several","WHITE: of any origin","Christian - no denomination","Foreign or other","Refused information","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"235","Scotland",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Several times a day","Financial Times","Yes",NA,"Conservative","Conservative","... a great deal,","Most people can be trusted","to leave the European Union,","Most of the time","Most of the time","... there is a great difference between them,","Health","too high and discourage work","Keep taxes and spending on these services at same level","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","7","3",NA,"Agree","Yes, a few","WHITE: of any origin","No religion","Degree","£3,601 or more p.m.","Agree","Disagree strongly","Agree strongly","Agree","Disagree strongly","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"236","Scotland",2,"Male",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Express","Never",NA,"No","No","None","None","not very much,","Can t be too careful in dealing with people","to leave the European Union,","Only some of the time","Almost never","or, not much difference?","Education","(Neither)","Increase taxes and spend more on health, education etc","too large","is hard up,","...I don t believe that climate change is taking place","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","SPONTANEOUS ONLY: To access benefits or housing","Disagree","No, none at all","WHITE: of any origin","Presbyterian/Church of Scotland","No qualification",NA,"Agree","Agree","Agree","Agree","Agree","Agree","Yes, trade union","Wholly retired from work","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"237","England",2,"Female",NA,"Divorced/dissolved civil partnership","Yes","Separated/divorced","No",NA,"Never",NA,"No","No","Labour","Labour","or, none at all?","Can t be too careful in dealing with people",NA,"Almost never","Almost never","... there is a great difference between them,","Social security benefits","too low and cause hardship","Reduce taxes and spend less on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Refugees claiming asylum in Britain","Disagree strongly","No, none at all","WHITE: of any origin","No religion","O level or equiv",NA,"Disagree strongly","Agree","Agree","Agree strongly","Disagree","Agree strongly","No","Permanently sick or disabled","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"238","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Never",NA,"Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","3","Coming to work in Britain from countries outside the European Union","Disagree","Yes, a few","WHITE: of any origin","Christian - no denomination","O level or equiv","£1,101 - 1,300 p.m.","Agree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"239","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Less often than once a month",NA,"No","No","None","None","some,","Most people can be trusted","to leave the European Union,","Most of the time","Only some of the time","or, not much difference?","Roads",NA,"Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","4","5 - Neither","Coming to work in Britain from countries inside the European Union","Agree","No, none at all","WHITE: of any origin","No religion","CSE or equiv","Refused information",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"240","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Every day","Other - Foreign site (PLEASE WRITE IN)","No","No","Conservative","Conservative","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","or, not much difference?","Defence","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","2","Coming to work in Britain from countries inside the European Union","Agree","No, none at all","WHITE: of any origin","Church of England/Anglican","Foreign or other","£1,801 - 2,200 p.m.","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"241","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","The Sun/ Scottish Sun","Never",NA,"No","Yes","Conservative","Conservative","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Health",NA,"Keep taxes and spending on these services at same level","too large","or, is really poor?","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","1","1","Refugees claiming asylum in Britain","Disagree strongly","No, none at all","WHITE: of any origin","No religion",NA,NA,"Disagree","Agree","Neither agree nor disagree","Agree","Agree strongly","Agree strongly","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"242","England",1,"Male",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Never",NA,"No","No","UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","or, not much difference?","Education","(Neither)","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","3","4","Other [WRITE IN]","Agree","Yes, a few","ASIAN: of Indian origin","No religion","Higher educ below degree",NA,"Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","No","Unemployed, wanting a job (of at least 10 hrs per week) but *not* actively looking for a job","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"243","England",2,"Male",NA,"Married","No","Married/living as married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Never",NA,"Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to leave the European Union,","Only some of the time","Almost never","... there is a great difference between them,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","3","7",NA,"Agree","Yes, a few","ASIAN: of Indian origin","Hindu","A level or equiv",NA,"Agree","Agree strongly","Agree","Agree strongly","Disagree strongly","Agree strongly","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
